,id,price,levy,manufacturer,model,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,car_age
27,45732374,23235.0,707.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,162000.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,13.0
29,45642526,7527.0,1486.0,HONDA,FIT,Hatchback,No,Hybrid,1.3,158000.0,4.0,Automatic,Front,4,Right-hand drive,Black,4.0,14.0
30,45801668,19121.0,531.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,103490.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,12.0
31,45815051,24462.0,751.0,TOYOTA,Camry,Sedan,Yes,Petrol,2.4,203200.0,4.0,Automatic,Front,4,Left wheel,Blue,4.0,11.0
32,45797488,45734.0,1091.0,HYUNDAI,H1,Universal,Yes,Diesel,2.5,61057.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,8.0
33,45667253,20165.0,650.0,VOLKSWAGEN,Jetta,Sedan,Yes,Petrol,1.4,11200.0,4.0,Tiptronic,Front,4,Left wheel,Black,8.0,8.0
34,45108412,21326.0,382.0,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2.4,141000.0,4.0,Tiptronic,Front,4,Left wheel,White,12.0,10.0
35,45726453,15681.0,503.0,TOYOTA,Prius C,Hatchback,No,Hybrid,1.5,128000.0,4.0,Variator,Front,4,Left wheel,Sky blue,8.0,12.0
39,45809839,34889.0,891.0,HONDA,Civic,Sedan,Yes,Petrol,2.0,87768.0,4.0,Automatic,Front,4,Left wheel,Blue,4.0,8.0
43,45641216,1411.0,629.0,NISSAN,Juke,Jeep,Yes,Petrol,1.6,87112.0,4.0,Automatic,4x4,4,Left wheel,Black,0.0,9.0
44,44679525,23521.0,781.0,CHEVROLET,Cruze LT,Sedan,No,Petrol,1.4,22000.0,4.0,Automatic,Front,4,Left wheel,Red,6.0,6.0
45,45418626,16935.0,530.0,FORD,Fusion,Sedan,No,Petrol,1.6,83000.0,4.0,Tiptronic,Front,4,Left wheel,Silver,8.0,11.0
47,45638910,7213.0,530.0,NISSAN,Juke,Jeep,Yes,Petrol,1.6,312118.0,4.0,Automatic,Front,4,Left wheel,Black,0.0,11.0
49,45803923,20526.0,640.0,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,200279.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,11.0
51,45802190,34657.0,777.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,154672.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,10.0
52,45802203,36564.0,1091.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,110969.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,8.0
54,45802120,30063.0,934.0,HYUNDAI,H1,Universal,Yes,Diesel,2.5,148105.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,9.0
55,45809414,15800.0,769.0,CHEVROLET,Captiva,Jeep,Yes,Diesel,2.2,255456.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,13.0
56,45797480,43952.0,1249.0,HYUNDAI,H1,Universal,Yes,Diesel,2.5,111643.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,7.0
58,45816646,14740.0,645.0,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,288000.0,4.0,Automatic,Front,4,Left wheel,White,8.0,13.0
60,45814804,3763.0,1053.0,MERCEDES-BENZ,ML 350,Jeep,Yes,Petrol,3.5,94362.0,6.0,Automatic,Rear,4,Left wheel,White,12.0,10.0
62,45648538,5645.0,1324.0,TOYOTA,Highlander,Jeep,Yes,Hybrid,3.3,264877.0,6.0,Automatic,4x4,4,Left wheel,White,12.0,14.0
63,45757322,7527.0,830.0,TOYOTA,Yaris,Sedan,Yes,Petrol,1.5,27656.0,4.0,Automatic,Front,4,Left wheel,White,12.0,5.0
64,45800993,21953.0,1187.0,HONDA,Civic,Sedan,No,Hybrid,1.4,16000.0,8.0,Automatic,4x4,4,Right-hand drive,White,10.0,10.0
66,45771208,21953.0,781.0,TOYOTA,Camry,Sedan,No,Petrol,2.5,195053.0,4.0,Automatic,Front,4,Left wheel,Black,0.0,12.0
67,45801684,19121.0,531.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,121362.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,12.0
68,45732386,36065.0,639.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,69191.0,4.0,Automatic,Front,4,Left wheel,White,4.0,10.0
69,43892866,8781.0,1111.0,HONDA,FIT,Hatchback,Yes,Hybrid,1.3,83000.0,4.0,Tiptronic,Front,4,Right-hand drive,Green,12.0,12.0
70,45810403,6247.0,760.0,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.8,40772.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,14.0
71,45810513,16289.0,642.0,CHEVROLET,Orlando,Jeep,Yes,Diesel,2.0,172000.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,12.0
74,45744824,6981.0,1095.0,DAEWOO,Lacetti,Sedan,Yes,Petrol,2.0,103246.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,16.0
75,45792882,27284.0,891.0,HYUNDAI,Elantra,Sedan,No,Petrol,2.0,105394.0,4.0,Tiptronic,Front,4,Left wheel,Black,12.0,8.0
80,45797276,15458.0,966.0,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,123346.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,15.0
81,45809760,2901.0,473.0,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,80827.0,4.0,Automatic,Front,4,Left wheel,Green,12.0,10.0
84,45550733,10663.0,988.0,TOYOTA,Prius,Hatchback,No,Petrol,1.5,318400.0,4.0,Automatic,Front,4,Left wheel,Silver,6.0,17.0
85,44094036,12858.0,765.0,FORD,Focus SE,Sedan,No,Petrol,2.0,91200.0,4.0,Automatic,Front,4,Left wheel,Sky blue,10.0,9.0
86,45642797,1019.0,917.0,BMW,X5,Jeep,Yes,Diesel,3.0,137802.0,6.0,Automatic,4x4,4,Left wheel,Black,12.0,11.0
90,45731735,44752.0,1091.0,HYUNDAI,H1,Universal,Yes,Diesel,2.5,86000.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,8.0
91,45797948,17158.0,687.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,122740.0,4.0,Automatic,Front,4,Left wheel,White,4.0,14.0
95,45726679,25591.0,640.0,SSANGYONG,Korando,Jeep,Yes,Diesel,2.0,85704.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,11.0
96,45803059,14897.0,836.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,58962.0,4.0,Automatic,Front,4,Left wheel,White,4.0,14.0
97,45770405,23521.0,779.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,90000.0,4.0,Tiptronic,Front,4,Left wheel,White,12.0,11.0
99,45767451,1019.0,1537.0,TOYOTA,Highlander,Sedan,Yes,Hybrid,3.3,318358.0,6.0,Automatic,4x4,4,Left wheel,Black,12.0,15.0
100,45636958,16935.0,765.0,FORD,Fusion,Sedan,Yes,Petrol,2.0,71454.0,4.0,Automatic,Front,4,Left wheel,Black,0.0,9.0
102,45733244,11604.0,639.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,346470.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,10.0
105,45797732,13328.0,1347.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,74444.0,4.0,Automatic,Front,4,Left wheel,Yellow,4.0,16.0
108,45731782,22894.0,862.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,124444.0,4.0,Automatic,Front,4,Left wheel,Yellow,4.0,13.0
109,45662111,2901.0,503.0,HONDA,Civic,Sedan,Yes,Hybrid,1.5,146403.0,4.0,Automatic,Front,4,Left wheel,White,0.0,12.0
113,45770233,22580.0,1017.0,MERCEDES-BENZ,E 300,Sedan,Yes,Petrol,2.0,50930.0,4.0,Automatic,Rear,4,Left wheel,Black,12.0,7.0
114,45803455,11604.0,639.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,264872.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,10.0
115,45810339,5488.0,751.0,GMC,TERRAIN,Jeep,Yes,Petrol,2.4,138958.0,4.0,Automatic,Front,4,Left wheel,Black,12.0,11.0
117,45642844,18817.0,609.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,35058.0,4.0,Automatic,Front,4,Left wheel,White,12.0,6.0
118,44921934,21169.0,697.0,HONDA,Hr-v EX,Jeep,No,Petrol,1.8,33330.0,4.0,Automatic,4x4,4,Left wheel,Grey,8.0,9.0
120,45634898,1568.0,639.0,VOLKSWAGEN,Jetta,Sedan,Yes,Diesel,2.0,82392.0,4.0,Automatic,Front,4,Left wheel,Silver,12.0,10.0
122,45451626,17876.0,585.0,HYUNDAI,Elantra sport limited,Sedan,Yes,Petrol,1.8,117920.0,4.0,Tiptronic,Front,4,Left wheel,Grey,12.0,11.0
123,45732976,11290.0,891.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,279787.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,8.0
124,44452971,36065.0,1399.0,TOYOTA,Sienna,Minivan,Yes,Petrol,3.5,227200.0,6.0,Tiptronic,Front,4,Left wheel,White,16.0,14.0
125,45796845,21395.0,781.0,HYUNDAI,H1,Universal,Yes,Diesel,2.5,166144.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,12.0
126,45733140,15681.0,891.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,258706.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,8.0
127,45810003,40070.0,690.0,TOYOTA,Aqua,Hatchback,Yes,Petrol,1.5,25807.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,8.0
130,45729867,35927.0,640.0,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.0,137267.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,11.0
131,45801397,21012.0,308.0,TOYOTA,Prius,Sedan,No,Hybrid,1.8,160000.0,4.0,Automatic,4x4,4,Left wheel,White,4.0,10.0
133,45781785,13172.0,1361.0,KIA,Carnival grand,Minivan,Yes,Diesel,2.9,84176.0,4.0,Automatic,Front,4,Left wheel,White,6.0,15.0
134,45802035,15624.0,707.0,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,107005.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,13.0
136,45751101,5488.0,1273.0,INFINITI,QX60,Jeep,Yes,Petrol,3.5,124154.0,6.0,Automatic,4x4,4,Left wheel,Black,12.0,9.0
137,45801611,20005.0,531.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,104997.0,4.0,Automatic,Front,4,Left wheel,White,4.0,12.0
138,45792460,36110.0,924.0,VOLKSWAGEN,Passat,Sedan,Yes,Petrol,1.8,27728.0,6.0,Tiptronic,Front,4,Left wheel,Silver,8.0,7.0
140,45802937,43880.0,891.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,113700.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,8.0
141,45675386,29479.0,584.0,MERCEDES-BENZ,C 250,Sedan,Yes,Petrol,1.8,69000.0,4.0,Tiptronic,Rear,4,Left wheel,Grey,8.0,10.0
144,45802938,44213.0,891.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,50255.0,4.0,Automatic,Front,4,Left wheel,Red,4.0,8.0
146,45395938,21950.0,831.0,FORD,Transit,Goods wagon,No,Diesel,2.4,125000.0,4.0,Manual,4x4,4,Left wheel,White,2.0,13.0
147,45766275,3136.0,473.0,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,156992.0,4.0,Automatic,Front,4,Left wheel,Black,12.0,10.0
155,45813281,1490.0,639.0,VOLKSWAGEN,Jetta,Universal,Yes,Diesel,2.0,113214.0,4.0,Automatic,Front,4,Left wheel,Grey,12.0,10.0
158,45646578,4704.0,917.0,AUDI,A7,Hatchback,Yes,Petrol,3.0,301707.0,6.0,Automatic,4x4,4,Left wheel,Grey,0.0,11.0
159,45773662,5802.0,1055.0,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,107800.0,6.0,Automatic,Rear,4,Left wheel,Grey,12.0,11.0
160,45767823,25716.0,777.0,TOYOTA,Camry,Sedan,No,Petrol,2.5,115200.0,4.0,Automatic,Front,4,Left wheel,Silver,8.0,10.0
161,45810599,14426.0,642.0,CHEVROLET,Orlando,Jeep,Yes,LPG,2.0,132036.0,4.0,Automatic,Front,4,Left wheel,White,4.0,12.0
163,45808960,45436.0,1172.0,FORD,Explorer,Jeep,Yes,Petrol,3.5,129177.0,4.0,Automatic,Front,4,Left wheel,White,4.0,13.0
164,45816333,11917.0,893.0,HYUNDAI,I30,Hatchback,No,Diesel,1.6,201000.0,4.0,Manual,Front,4,Left wheel,Black,8.0,16.0
165,45802892,41281.0,765.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,185811.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,9.0
170,45813342,6586.0,645.0,LEXUS,CT 200h,Hatchback,Yes,Hybrid,1.8,122302.0,4.0,Automatic,Front,4,Left wheel,Black,0.0,13.0
172,45803832,30063.0,639.0,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,120000.0,4.0,Automatic,Front,4,Left wheel,White,4.0,10.0
176,45453314,12231.0,1266.0,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,66000.0,4.0,Variator,Front,4,Right-hand drive,Silver,4.0,10.0
179,45809193,5620.0,447.0,HONDA,FIT,Hatchback,Yes,Petrol,1.3,110467.0,4.0,Automatic,Front,4,Left wheel,White,4.0,11.0
181,45095136,9408.0,1111.0,HONDA,FIT,Hatchback,No,Hybrid,1.3,64000.0,4.0,Variator,Front,4,Right-hand drive,Black,4.0,12.0
182,45781861,15367.0,640.0,VOLKSWAGEN,Passat,Sedan,Yes,Diesel,2.0,179200.0,4.0,Tiptronic,Front,4,Left wheel,White,16.0,11.0
184,45731459,26594.0,777.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,179918.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,10.0
185,45536422,36065.0,779.0,TOYOTA,Avalon LIMITED,Sedan,Yes,Hybrid,2.5,92200.0,4.0,Tiptronic,Front,4,Left wheel,Beige,12.0,11.0
186,45742092,26343.0,730.0,KIA,Cerato K3,Sedan,Yes,Diesel,1.6,29000.0,4.0,Tiptronic,Front,4,Left wheel,Silver,8.0,8.0
189,45506452,14000.0,585.0,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,50000.0,4.0,Tiptronic,Front,4,Left wheel,Grey,10.0,11.0
190,45809707,17923.0,473.0,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,127842.0,4.0,Automatic,Front,4,Left wheel,White,4.0,10.0
194,45813708,7527.0,640.0,VOLKSWAGEN,Passat,Sedan,Yes,Diesel,2.0,132310.0,4.0,Automatic,Front,4,Left wheel,Grey,12.0,11.0
195,45813166,3450.0,1249.0,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,60762.0,4.0,Automatic,Front,4,Left wheel,White,12.0,7.0
196,45804525,22063.0,836.0,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,142264.0,4.0,Automatic,Front,4,Left wheel,White,4.0,14.0
197,45656681,2901.0,503.0,HONDA,Civic,Sedan,Yes,Hybrid,1.5,146403.0,4.0,Automatic,Front,4,Left wheel,White,0.0,12.0
198,45812738,4704.0,585.0,TOYOTA,Corolla,Sedan,Yes,Petrol,1.8,227371.0,4.0,Automatic,Front,4,Left wheel,Silver,12.0,11.0
200,45809446,16900.0,502.0,HONDA,FIT,Hatchback,Yes,Petrol,1.5,70000.0,4.0,Automatic,Front,4,Left wheel,Blue,4.0,11.0
203,45770019,42651.0,1017.0,MERCEDES-BENZ,GLA 250,Jeep,Yes,Petrol,2.0,44995.0,4.0,Automatic,4x4,4,Left wheel,Black,0.0,7.0
204,45813976,15524.0,586.0,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,122324.0,4.0,Automatic,Front,4,Left wheel,Red,7.0,12.0
207,45797238,28909.0,831.0,HYUNDAI,Elantra,Sedan,Yes,Diesel,1.6,98000.0,4.0,Automatic,Front,4,Left wheel,White,4.0,7.0
209,45803460,14426.0,639.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,169024.0,4.0,Automatic,Front,4,Left wheel,White,4.0,10.0
210,43247033,9000.0,1325.0,VOLKSWAGEN,Sharan,Minivan,No,Petrol,1.4,126000.0,4.0,Automatic,Front,4,Right-hand drive,Silver,6.0,13.0
211,45769197,30734.0,1053.0,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,200179.0,6.0,Automatic,4x4,4,Left wheel,Black,12.0,10.0
212,45787509,22580.0,779.0,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,156666.0,4.0,Automatic,Front,4,Left wheel,Black,12.0,11.0
213,45809244,7464.0,247.0,HONDA,FIT,Hatchback,Yes,Hybrid,1.3,114950.0,4.0,Automatic,Front,4,Left wheel,Blue,4.0,10.0
214,45771034,1333.0,1091.0,FORD,Fusion,Sedan,Yes,Petrol,2.5,154850.0,4.0,Automatic,Front,4,Left wheel,Black,12.0,8.0
220,45769046,2430.0,1598.0,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.0,175614.0,6.0,Automatic,Rear,4,Left wheel,Black,12.0,16.0
222,45730558,39161.0,831.0,SSANGYONG,Actyon,Jeep,Yes,Diesel,1.6,73000.0,4.0,Automatic,Front,4,Left wheel,White,4.0,7.0
226,44810053,20385.0,738.0,CHEVROLET,Cruze,Sedan,No,Petrol,1.4,42000.0,4.0,Tiptronic,Front,5,Left wheel,Black,12.0,7.0
232,45802041,15241.0,707.0,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,117492.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,13.0
233,45635110,2587.0,382.0,FORD,Fusion,Sedan,Yes,Hybrid,2.0,88795.0,4.0,Automatic,Front,4,Left wheel,Black,0.0,9.0
234,45797839,15524.0,1347.0,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,56769.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,16.0
236,45766543,4861.0,779.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,136861.0,4.0,Automatic,Front,4,Left wheel,Blue,12.0,11.0
238,45797924,18208.0,531.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,95665.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,12.0
239,44006324,34497.0,779.0,TOYOTA,RAV 4 Le,Jeep,No,Petrol,2.5,65350.0,4.0,Tiptronic,Front,4,Left wheel,White,12.0,11.0
240,45764287,6272.0,1522.0,OPEL,Zafira,Goods wagon,No,Petrol,1.8,130000.0,4.0,Manual,Front,4,Left wheel,Silver,0.0,24.0
241,45793908,4924.0,1282.0,CHEVROLET,Captiva,Jeep,Yes,Diesel,2.0,183923.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,17.0
243,45731752,43576.0,1091.0,HYUNDAI,H1,Universal,Yes,Diesel,2.5,97129.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,8.0
245,45115251,28225.0,1079.0,TOYOTA,CHR,Jeep,No,Petrol,2.0,24000.0,4.0,Automatic,Front,4,Left wheel,Grey,8.0,6.0
247,45800731,18817.0,738.0,CHEVROLET,Cruze,Hatchback,Yes,Petrol,1.4,29094.0,4.0,Automatic,Front,4,Left wheel,Grey,0.0,7.0
248,45813862,4861.0,382.0,FORD,Fusion,Sedan,Yes,Hybrid,2.0,148709.0,4.0,Automatic,Front,4,Left wheel,Red,12.0,9.0
249,45810175,13172.0,1399.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,186005.0,6.0,Automatic,4x4,4,Left wheel,Silver,12.0,14.0
250,45342484,37320.0,1055.0,MERCEDES-BENZ,E 350 ამგ,Sedan,Yes,Petrol,3.5,156800.0,4.0,Tiptronic,4x4,4,Left wheel,Black,12.0,11.0
251,45504338,39201.0,456.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,35000.0,4.0,Automatic,Front,4,Left wheel,Grey,10.0,9.0
252,45797233,36426.0,880.0,HYUNDAI,Elantra,Sedan,Yes,LPG,1.6,35643.0,4.0,Automatic,Front,4,Left wheel,White,4.0,6.0
255,45752253,12701.0,900.0,HONDA,Cr-v,Jeep,Yes,Petrol,2.4,117158.0,4.0,Automatic,Front,4,Left wheel,White,12.0,9.0
256,45769910,8154.0,781.0,SUBARU,Forester,Jeep,Yes,Petrol,2.5,281659.0,4.0,Automatic,4x4,4,Left wheel,Blue,0.0,12.0
257,45548523,46414.0,456.0,TOYOTA,Avalon,Sedan,Yes,Hybrid,2.5,63645.0,4.0,Tiptronic,Front,4,Left wheel,White,12.0,9.0
258,45806590,45160.0,798.0,MERCEDES-BENZ,ML 250,Jeep,Yes,Diesel,2.1,197338.0,4.0,Automatic,4x4,4,Left wheel,White,12.0,9.0
260,45751820,1176.0,639.0,MITSUBISHI,Colt Lancer,Hatchback,Yes,Petrol,2.0,136634.0,4.0,Automatic,Front,4,Left wheel,Silver,12.0,10.0
262,45776871,5802.0,988.0,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.5,140000.0,4.0,Variator,Front,4,Left wheel,Green,12.0,17.0
263,45815909,2901.0,1277.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,45494.0,4.0,Automatic,Front,4,Left wheel,White,12.0,6.0
264,45767606,1882.0,442.0,TOYOTA,Prius,Sedan,Yes,Hybrid,1.8,47672.0,4.0,Automatic,Front,4,Left wheel,White,12.0,7.0
269,45543235,36065.0,1051.0,MITSUBISHI,Outlander,Jeep,Yes,Petrol,2.4,39000.0,4.0,Variator,Front,4,Left wheel,Silver,12.0,8.0
271,45617361,21639.0,1091.0,SUBARU,Forester,Jeep,No,Petrol,2.5,34000.0,4.0,Variator,4x4,4,Left wheel,White,7.0,8.0
272,45797343,7840.0,790.0,HYUNDAI,I30,Hatchback,Yes,Petrol,1.6,140000.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,15.0
274,45654682,1646.0,1292.0,MERCEDES-BENZ,GLE 350,Jeep,Yes,Petrol,3.0,59099.0,6.0,Automatic,4x4,4,Left wheel,White,0.0,8.0
275,45804791,24198.0,640.0,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,124000.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,11.0
276,45809396,25365.0,502.0,HONDA,FIT,Hatchback,Yes,Petrol,1.5,34682.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,11.0
277,45763292,1725.0,777.0,CHEVROLET,Malibu,Sedan,Yes,Petrol,2.5,310061.0,4.0,Automatic,Front,4,Left wheel,Blue,12.0,10.0
278,45806345,17249.0,586.0,TOYOTA,Prius,Sedan,No,Hybrid,1.8,22400.0,4.0,Automatic,Front,4,Left wheel,White,8.0,12.0
279,45756945,31361.0,639.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,62000.0,4.0,Tiptronic,Front,4,Left wheel,White,12.0,10.0
280,45797127,4704.0,1047.0,HYUNDAI,Elantra,Sedan,Yes,Diesel,1.6,54279.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,17.0
281,45809778,12720.0,645.0,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.8,135759.0,4.0,Automatic,Front,4,Left wheel,Grey,4.0,13.0
282,45804848,26372.0,640.0,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,120534.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,11.0
284,45730143,25591.0,528.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,140000.0,4.0,Automatic,Front,4,Left wheel,White,4.0,10.0
285,45814808,6429.0,1211.0,MERCEDES-BENZ,C 300,Sedan,Yes,Petrol,3.0,108517.0,6.0,Automatic,4x4,4,Left wheel,White,12.0,14.0
288,45808996,8097.0,790.0,DAEWOO,Lacetti,Sedan,Yes,Petrol,1.6,130000.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,15.0
291,45624104,12231.0,574.0,HONDA,Insight,Sedan,No,Hybrid,1.3,150000.0,4.0,Variator,Front,4,Left wheel,Black,12.0,14.0
292,45796881,17054.0,862.0,HYUNDAI,H1,Universal,Yes,Diesel,2.5,237853.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,13.0
294,45803109,9565.0,765.0,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,42000.0,4.0,Automatic,Front,4,Left wheel,Orange,4.0,9.0
295,45810274,24302.0,765.0,CHEVROLET,Malibu,Sedan,Yes,Diesel,2.0,60618.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,9.0
297,45809770,1960.0,777.0,NISSAN,Altima,Sedan,Yes,Petrol,2.5,127918.0,4.0,Automatic,Front,4,Left wheel,Red,12.0,10.0
